Name,v_LJ_12_2,v_LJ_12_3,v_LJ_12_4,v_LJ_12_5,v_LJ_12_6,v_LJ_12_7,v_LJ_12_8,v_LJ_12_9,v_LJ_12_10,v_LJ_12_11,v_HB_12_2,v_HB_12_3,v_HB_12_4,v_HB_12_5,v_HB_12_6,v_HB_12_7,v_HB_12_8,v_HB_12_9,v_HB_12_10,v_HB_12_11,v_Elec,v_Sol,Experimental
"[000]RIS_901 [A]",-495.954,-141.687,-14.9658,54.7441,112.316,173.569,247.575,343.156,471.954,651.269,-2763.58,-561.471,-129.742,4.15511,75.5463,133.295,191.334,255.616,330.117,418.566,0.0679664,-33.9769,-7.26027
"[000]ZOL_901 [A]",-487.613,-175.503,-80.9636,-45.2938,-28.4559,-18.6028,-11.6267,-5.86328,-0.522271,4.84285,-2705.88,-583.863,-191.249,-91.8247,-57.5723,-42.3937,-34.345,-29.5281,-26.3971,-24.2378,0.0881291,-31.0671,-7.36668
"[000]210_9001 [F]",-399.382,-135.88,-55.4416,-23.5329,-6.52592,5.56261,16.3345,27.4524,39.9698,54.8095,-2356.6,-501.829,-164.332,-79.7417,-50.2731,-36.6082,-28.7418,-23.4581,-19.4917,-16.2562,0.0346126,-26.7665,-6.62082
"[000]ZOL_9001 [F]",-492.993,-177.16,-81.6528,-45.3082,-27.8026,-17.241,-9.4793,-2.8106,3.60618,10.2795,-2741.63,-594.076,-197.971,-97.1317,-62.0126,-46.2465,-37.7698,-32.6204,-29.2171,-26.8249,0.075981,-31.939,-7.36668
"[000]ZOL_5001 [F]",-498.279,-176.378,-78.3411,-40.3649,-21.3313,-9.05575,0.758641,9.94769,19.4992,30.1092,-2777.96,-594.042,-192.695,-91.4665,-56.5742,-40.9797,-32.5495,-27.3452,-23.8146,-21.2445,0.071224,-31.8665,-7.36668
"[000]ZOL_9001 [F]",-488.23,-172.398,-75.7713,-37.5263,-17.4289,-3.5066,8.57575,20.8244,34.5109,50.7513,-2720.83,-582.269,-187.449,-86.0321,-49.8631,-32.8725,-23.0465,-16.4193,-11.3955,-7.22436,0.0754625,-31.7505,-7.24192
"[000]1BY_3001 [A]",-660.988,-193.057,-66.4637,-17.0697,11.6201,34.8698,58.1527,84.3309,115.686,154.696,-3450.46,-613.949,-173.713,-72.4146,-37.4202,-19.9946,-8.47097,0.777752,9.1622,17.3484,0.0481093,-29.9999,-7.79588
"[000]RIS_901 [A]",-505.74,-172.401,-65.756,-19.0767,10.0985,34.9736,61.0168,91.6607,130.2,180.747,-2691.98,-566.414,-168.168,-61.12,-18.1085,6.94516,26.1795,43.7394,61.4509,80.351,0.0711836,-32.044,-7.38426
"[000]722_3001 [A]",-980.487,-310.12,-128.271,-60.0958,-24.1616,1.57887,24.7649,48.9816,76.6558,110.09,-3643.09,-674.524,-197.808,-83.8309,-43.7631,-24.2493,-12.0261,-2.82905,5.03445,12.3621,0.0862091,-51.7158,-7.77911
"[000]ZOL_354 [F]",-490.506,-167.954,-67.3078,-25.1023,-0.402539,19.1566,38.3172,59.6133,85.0453,116.758,-2771.76,-596.864,-193.236,-87.709,-48.4131,-28.4502,-15.5498,-5.63459,2.95927,11.0369,0.0522763,-32.7217,-7.36668
"[000]POP_402 [F]",-275.818,-90.9545,-32.8096,-7.11835,9.34885,23.5053,38.0137,54.3399,73.6699,97.2666,-2218.09,-511.666,-190.797,-104.416,-71.5514,-55.2037,-45.379,-38.6147,-33.4545,-29.1919,-0.0962402,-20.9517,-4.45407
"[000]ZOL_404 [A]",-295.711,144.538,396.64,632.462,909.733,1268.02,1756.11,2449.48,3473.81,5045.88,-2382.94,-63.9004,568.512,964.701,1366.12,1839.77,2427.24,3173.67,4138.24,5402.66,0.0500232,-31.3398,-7.36668
"[000]RIS_405 [A]",-521.284,-173.228,-60.7122,-10.0195,23.0595,52.3067,83.4854,120.253,166.105,225.306,-2803.08,-589.519,-176.678,-66.0374,-21.6472,4.04557,23.4459,40.7091,57.5921,75.018,0.0541192,-32.9866,-7.38426
"[000]ZOL_404 [A]",-475.911,-160.827,-62.5074,-20.9677,3.84976,24.0811,44.4707,67.6911,96.015,132.035,-2674.54,-566.362,-177.371,-75.3448,-36.4866,-15.849,-1.70314,9.87287,20.5117,31.0356,0.0781148,-30.7946,-7.36668
"[000]RIS_405 [A]",-518.152,-179.032,-73.1257,-29.2871,-4.28498,14.9273,33.2643,53.2384,76.7189,105.617,-2770.34,-592.259,-190.334,-86.6504,-48.7799,-29.9958,-18.1835,-9.35816,-1.911,4.92608,0.0570769,-32.3582,-7.38426
"[000]RIS_404 [A]",-511.388,-182.709,-82.7127,-44.2756,-25.2848,-13.2446,-3.73897,5.13818,14.4439,24.9665,-2673.39,-561.408,-176.461,-80.3288,-47.3856,-32.6051,-24.4712,-19.2718,-15.5505,-12.6402,0.111695,-30.4625,-7.38426
"[000]RIS_404 [A]",-558.39,-200.729,-92.077,-50.3622,-29.8841,-17.1271,-7.34987,1.44403,10.2933,19.8901,-2943.19,-622.595,-199.15,-93.3727,-57.4386,-41.7085,-33.4222,-28.4536,-25.1856,-22.8809,0.0517435,-33.9544,-7.38426
"[000]RIS_901 [A]",-558.678,-202.53,-93.9968,-52.4636,-32.3712,-20.1924,-11.1831,-3.36656,4.2546,12.3097,-2930,-622.035,-198.792,-92.7103,-56.5924,-40.7397,-32.3573,-27.3091,-23.9755,-21.6186,0.0663137,-34.3465,-7.38426
"[000]ZOL_401 [A]",-495.456,-174.378,-76.0029,-37.0812,-16.6902,-2.65565,9.40315,21.4734,34.7658,50.2919,-2774.86,-596.8,-194.449,-91.3999,-54.8809,-37.8905,-28.2067,-21.8173,-17.1207,-13.3713,0.0807956,-32.1391,-7.36668
"[000]RIS_901 [A]",-513.567,-182.045,-78.9377,-37.2875,-14.6947,1.6313,16.4315,32.0248,50.0328,72.0409,-2703.94,-577.794,-184.548,-83.8326,-47.7454,-30.3216,-19.645,-11.8062,-5.23407,0.818324,0.0716401,-31.911,-7.38426
"[000]GZ3_1351 [A]",-420.142,-116.17,-35.2473,0.288594,24.8224,47.6804,72.6284,102.143,138.689,185.324,-2405.35,-462.663,-158.586,-78.9894,-46.0417,-26.7351,-12.3963,0.0262831,11.8939,23.9493,-0.0476095,-25.8321,-5.40894
"[000]PEQ_1352 [A]",-416.205,-109.353,-26.181,12.4767,41.2998,69.9751,102.856,143.336,195.292,263.964,-2766.4,-523.015,-168.844,-72.7998,-29.8733,-1.9422,21.1369,43.0674,65.6416,89.9828,-0.0489763,-25.7115,-3.4437
"[000]K2Q_1172 [A]",-420.879,-146.03,-64.3509,-30.6039,-11.4741,2.8407,16.0506,30.057,46.2541,66.0437,-1764.94,-361.709,-116.099,-53.1312,-29.9453,-18.2324,-10.6299,-4.70744,0.517622,5.51768,-0.0413507,-31.0045,-4.20761
"[000]FA3_201 [A]",-612.049,-175.189,-77.492,-43.0599,-25.2233,-12.9144,-2.51395,7.56113,18.2327,30.2121,-2928.11,-508.683,-170.873,-89.7607,-60.6129,-47.1185,-39.7792,-35.314,-32.3526,-30.2419,0.016086,-35.179,-4.82391
"[000]CIT_1159 [A]",-99.6429,172.72,378.727,594.17,855.096,1194.87,1659.68,2323.67,3313.05,4849.95,-1453.31,-35.6992,484.975,858.701,1246.69,1707.57,2284.34,3026.3,3999.58,5297.34,-0.0688618,-36.5397,-2.60206
"[000]XNW_1144 [A]",-425.874,-191.71,-103.188,-61.3289,-36.52,-18.4549,-2.9093,12.2083,28.1985,46.0991,-1778.28,-484.044,-188.37,-99.6298,-65.5114,-49.4657,-40.6355,-35.1329,-31.3362,-28.4826,-0.00876762,-46.1208,-7.58503
"[000]XNW_201 [A]",-643.836,-215.453,-77.4552,-10.1593,37.5819,81.6004,128.859,184.014,251.559,336.868,-2696.82,-586.413,-199.807,-94.7577,-54.367,-33.6419,-20.2168,-9.82803,-0.713066,7.97689,0.0034119,-49.9876,-6.76955
"[000]CA2_147 [A]",-420.527,-191.143,-104.076,-61.9523,-35.9715,-16.1192,1.7816,19.8996,39.6962,62.4472,-1622.63,-448.752,-178.019,-95.2536,-62.7988,-47.319,-38.7429,-33.389,-29.6911,-26.9019,-0.00962358,-46.8561,-6.85387
"[000]FA1_147 [A]",-603.01,-156.676,-61.7361,-25.8132,-4.19692,13.5927,31.2475,50.7441,73.6622,101.682,-2962.98,-486.277,-161.725,-82.3095,-51.9244,-36.3239,-26.479,-19.226,-13.2181,-7.79475,-0.000356436,-32.5875,-3.69897
"[000]RJP_147 [A]",-1159.42,-307.452,-132.059,-68.7923,-33.4041,-6.54041,18.4014,44.7083,74.7634,110.916,-4610.23,-723.738,-226.076,-107.089,-62.9426,-40.9777,-27.4373,-17.5859,-9.45326,-2.0962,0.0332376,-55.7749,-5.63827
"[000]N87_147 [A]",-1245.85,-329.273,-143.252,-80.2463,-48.7274,-27.8117,-10.7343,5.45292,22.4644,41.633,-4206.7,-654.143,-200.968,-95.6699,-58.6886,-41.7744,-32.4852,-26.6137,-22.4502,-19.2022,0.0312444,-51.4476,-4.95861
"[000]D1X_147 [A]",-548.959,-152.406,-66.8276,-35.5214,-18.2065,-5.37346,6.17984,17.9477,30.8951,45.8572,-2875.19,-492,-168.784,-89.6343,-60.684,-47.1055,-39.5968,-34.906,-31.6714,-29.2471,0.0253632,-26.133,-3.52288
"[000]N88_147 [A]",-890.12,-231.988,-100.349,-58.0446,-38.7995,-27.6211,-19.8445,-13.6302,-8.10592,-2.78568,-3998.03,-610.518,-186.823,-91.7136,-59.2497,-44.7158,-36.9456,-32.2528,-29.1564,-26.9711,0.0331106,-41.7662,-4.56864
"[000]3DQ_1144 [A]",-410.711,-174.596,-87.5103,-46.9335,-22.7577,-4.63737,11.6993,28.483,47.272,69.5114,-1740.25,-456.159,-172.207,-88.6124,-56.1963,-40.2706,-30.7932,-24.2226,-19.0856,-14.6819,-0.00920725,-41.1006,-7
"[000]2HN_1145 [A]",-450.446,-200.533,-107.178,-63.5755,-38.0335,-19.5805,-3.72638,11.7655,28.313,47.0829,-1725.79,-465.259,-180.006,-95.1016,-62.4227,-46.8392,-38.0486,-32.3929,-28.3474,-25.1899,-0.0137719,-48.9951,-7.13077
"[000]2HN_200 [A]",-703.164,-257.504,-125.38,-72.1753,-43.9602,-25.0432,-9.73252,4.52214,19.1527,35.1881,-2647.89,-584.076,-207.607,-107.501,-71.0635,-54.3189,-45.2407,-39.6996,-36.0033,-33.3573,0.00693345,-52.9342,-6.01323
"[000]XH2_1148 [A]",-301.17,-132.54,-66.933,-34.0667,-12.6498,4.90583,21.9145,40.2722,61.4615,86.9894,-1485.29,-411.956,-162.579,-85.5558,-54.4936,-38.8291,-29.3735,-22.7752,-17.6026,-13.1639,-0.0109116,-37.1031,-4.82391
"[000]NDY_1144 [A]",-384.946,-170.138,-88.193,-47.7289,-21.7343,-0.774897,19.1931,40.4337,64.6781,93.6631,-1575.54,-437.149,-172.56,-90.1704,-56.5803,-39.4132,-28.8547,-21.2953,-15.1807,-9.75035,-0.0126172,-42.8889,-4.56864
"[000]RIS_901 [A]",-511.68,-178.379,-72.0589,-26.5365,0.651412,22.5784,44.3901,68.9566,98.667,136.197,-2726.42,-588.161,-186.623,-80.584,-40.3401,-19.1121,-4.63369,7.1798,18.0125,28.7038,0.0619477,-32.8737,-7.38426
"[000]BFQ_9001 [F]",-582.091,-209.648,-95.5046,-50.6571,-27.6137,-12.208,0.680284,13.3905,27.3649,43.8299,-2588.41,-545.88,-169.932,-74.301,-40.7187,-25.1645,-16.2208,-10.1561,-5.48882,-1.53182,0.0630053,-41.4044,-6.88207
"[000]GG3_3001 [A]",-983.471,-319.26,-142.401,-79.9721,-51.0222,-33.9121,-21.5478,-11.1012,-1.2019,8.97058,-3611.73,-666.947,-198.513,-89.9082,-54.3471,-39.1092,-31.2217,-26.5797,-23.5934,-21.543,0.0580662,-49.7623,-7.67778
"[000]ZOL_354 [F]",-489.861,-173.364,-76.3003,-37.7661,-17.4972,-3.5255,8.45391,20.3893,33.4597,48.6412,-2737.39,-595.995,-199.74,-97.6644,-61.2626,-44.2794,-34.6129,-28.2573,-23.5997,-19.8826,0.0705349,-32.2566,-7.36668
"[000]UNR_901 [A]",-545.744,-188.776,-76.3344,-28.7372,-0.628389,21.8145,43.9796,68.8391,98.8387,136.698,-2535.09,-536.099,-165.647,-68.3725,-31.3381,-11.5783,2.11925,13.4814,24.0436,34.5714,0.0757888,-34.6376,-7.04359
"[000]210_901 [A]",-393.518,-132.685,-51.8505,-18.4104,0.834063,15.8737,30.4972,46.6871,65.9704,89.9549,-2331.22,-496.014,-158.562,-71.7622,-40.051,-24.2397,-14.2113,-6.65008,-0.219006,5.72105,0.0474397,-27.2358,-6.71298
"[000]POP_402 [F]",-272.943,-96.4632,-44.0233,-23.9284,-13.8051,-7.21722,-1.94889,2.92698,7.89221,13.2641,-2139.84,-483.886,-174.653,-93.0962,-63.3393,-49.4628,-41.8182,-37.1041,-33.9565,-31.7276,-0.0676929,-20.1433,-4.45407
"[000]RIS_405 [A]",-519.172,-178.208,-71.6614,-27.1009,-1.07693,19.6092,40.0911,63.2193,91.3854,127.312,-2742.16,-567.949,-170.128,-67.6257,-29.2099,-8.78833,5.48136,17.485,28.8216,40.3037,0.10563,-31.4391,-7.38426
"[000]210_404 [A]",-387.106,-131.48,-53.1054,-21.3827,-3.78484,9.33855,21.5106,34.4191,49.2012,66.9096,-2285.88,-489.536,-161.525,-78.3783,-48.9604,-35.1516,-27.1539,-21.7726,-17.7333,-14.4403,0.0446075,-26.5294,-6.71298
"[000]210_405 [A]",-385.926,-133.776,-57.0589,-26.9732,-11.3159,-0.563582,8.67745,17.9232,28.0757,39.8662,-2267.14,-489.375,-163.175,-80.6049,-51.7934,-38.6807,-31.4447,-26.873,-23.6815,-21.2703,0.0438628,-26.5003,-6.71298
"[000]ZOL_501 [A]",-494.116,-173.101,-74.7114,-35.5151,-14.5601,0.37744,13.7882,27.8501,44.0774,63.9495,-2765.55,-590.282,-188.164,-84.0707,-45.9912,-27.156,-15.3903,-6.67386,0.621448,7.27652,0.0910089,-31.7851,-7.36668
"[000]0V5_1353 [A]",-430.021,-125.847,-48.3843,-17.7659,0.435165,15.181,29.6301,45.3595,63.5186,85.2382,-2812.67,-550.818,-199.052,-110.642,-77.6213,-61.2923,-51.5428,-44.9033,-39.9186,-35.8844,-0.0461992,-26.3988,-4.00436
"[000]FA1_201 [A]",-583.981,-166.835,-73.1113,-39.6512,-21.8352,-9.0809,2.09052,13.2363,25.3076,39.0845,-2868.88,-501.337,-171.04,-91.3133,-62.2947,-48.6452,-41.1,-36.4342,-33.2874,-31.0044,0.023112,-33.3538,-4.52288
"[000]FA1_200 [A]",-234.955,-106.206,-56.5349,-32.1166,-16.7973,-4.8834,6.03597,17.2379,29.6044,43.924,-1201.41,-345.503,-144.532,-82.0954,-57.2568,-45.2603,-38.5513,-34.3452,-31.4486,-29.2872,-0.014095,-29.8723,-3.69897
"[000]CA2_160 [A]",-1031.42,-292.88,-126.658,-66.8045,-34.5477,-11.093,9.88952,31.3968,55.4463,83.8979,-3847.93,-639.006,-198.165,-94.2619,-56.8955,-38.8272,-27.9858,-20.3114,-14.1427,-8.69188,0.0247888,-51.7892,-4.48149
"[000]GAJ_1160 [A]",-455.335,-191.49,-97.0421,-53.0983,-26.601,-6.40809,12.095,31.3728,53.2157,79.357,-2164.87,-550.776,-202.005,-101.239,-63.8021,-46.7909,-37.7447,-32.2884,-28.6332,-25.9552,0.000122315,-39.1078,-4.69897
"[000]3DQ_1158 [A]",-668.439,-242.386,-114.814,-62.114,-32.9123,-12.2203,5.46803,22.6981,40.981,61.4813,-2743.66,-596.014,-207.388,-105.175,-68.5686,-52.0649,-43.2683,-37.9576,-34.4249,-31.8825,0.00676681,-49.4806,-5.84771
