Energy Term,rho,p-value1,r,p-value2,r2,MSE,RMSE,SD
v_LJ_32_2,-0.06446904277392407,0.5304178071837863,0.1454593198370299,0.1551396592085748,0.021158413727451357,3884815203535.639,1970993.4559849862,1963670.6239570752
v_LJ_32_3,-0.1991077565813329,0.050561100943221284,0.14541766007111726,0.1552592308001981,0.02114629586055901,9354818846690.975,3058564.834475636,3047102.855973002
v_LJ_32_4,-0.2438317166984396,0.01609395910350492,0.14541032695677564,0.15528028538258848,0.02114416318567639,17840181975395.277,4223763.958295406,4207910.080239843
v_LJ_32_5,-0.24533741897230282,0.015430682251331962,0.1454083834726404,0.1552858658041026,0.021143597984126444,29978479124970.145,5475260.644478045,5454700.210265375
v_LJ_32_6,-0.24891428376261537,0.013949210696289344,0.14540768606666588,0.1552878683366809,0.021143395167262057,46553629896151.77,6823022.05010007,6797396.415544134
v_LJ_32_7,-0.24891428376261537,0.013949210696289344,0.14540737721395636,0.15528875518298743,0.021143305348241794,68535260377072.734,8278602.561850202,8247507.871075414
v_LJ_32_8,-0.24963754686359768,0.01366515052224662,0.14540722251944413,0.15528919937755642,0.02114326036081914,97130492124580.33,9855480.30917724,9818461.48338859
v_LJ_32_9,-0.2510643477082628,0.013119490151013888,0.1454071431465141,0.1552894272917909,0.02114323727803084,133852790448763.08,11569476.671343569,11526018.989861814
v_LJ_32_10,-0.2521032165260374,0.012734211774695603,0.14540710905039964,0.15528952519665495,0.021143227362394813,180614489918228.5,13439289.04065347,13388807.490912896
v_LJ_32_11,-0.2519848643822403,0.012777601026865336,0.14540710922831737,0.15528952468577525,0.02114322741413582,239852599074470.34,15487175.30973516,15429001.300075412
v_LJ_32_12,-0.2519848643822403,0.012777601026865336,0.14540714243195182,0.1552894293436113,0.021143237070225925,314702035530237.06,17739843.165322434,17673207.889313515
v_LJ_32_13,-0.2519848643822403,0.012777601026865336,0.14540721466891993,0.1552892219198179,0.021143258077773362,409237493019977.3,20229619.201062024,20153632.635701302
v_LJ_32_14,-0.251754735213746,0.012862337697964871,0.14540733982117618,0.1552888625536771,0.02114329447387101,528816273580510.7,22996005.600549646,22909629.71838681
v_LJ_32_15,-0.251754735213746,0.012862337697964871,0.1454075426121403,0.15528828025461752,0.0211433534485014,680572349311998.9,26087781.609634783,25989795.814232267
v_LJ_32_16,-0.25187308735754305,0.012818697925400859,0.14540786434792466,0.15528735641776753,0.021143447014224458,874141433690605.9,29565882.934399337,29454838.8953276
v_LJ_32_17,-0.2517678854519456,0.012857482454895602,0.14540837272289514,0.15528589667079015,0.021143594857920396,1122746567368043.9,33507410.63359035,33381572.458340265
v_LJ_32_18,-0.2517678854519456,0.012857482454895602,0.14540917797651493,0.1552835844879737,0.021143829039805793,1444859603301677.8,38011308.88698359,37868572.69605387
v_LJ_32_19,-0.2510446223509633,0.013126902634603286,0.14541045907185776,0.1552799060394998,0.021144201607488422,1866806296213581.2,43206553.857182145,43044337.95915594
v_LJ_32_20,-0.2514128290205543,0.01298913557708117,0.14541250549416115,0.15527403021923358,0.021144796754089448,2426960632728774.5,49264192.196044125,49079284.592487544
v_LJ_32_21,-0.2514128290205543,0.01298913557708117,0.14541578278214376,0.1552646206037524,0.021145749882143617,3182696721277311.5,56415394.36428067,56203737.25656728
v_LJ_32_22,-0.2514128290205543,0.01298913557708117,0.14542103266812278,0.1552495482332837,0.021147276742263233,4222281619483450.5,64979086.016067125,64735465.67210387
v_LJ_32_23,-0.2514128290205543,0.01298913557708117,0.14542942049267168,0.15522546914101737,0.021149716344834316,5685932202439078.0,75405120.53195776,75122712.4753879
v_LJ_32_24,-0.2514128290205543,0.01298913557708117,0.14544274029782978,0.1551872374494173,0.02115359070534196,7804509150464710.0,88343133.0125025,88012822.17833833
v_LJ_32_25,-0.2514128290205543,0.01298913557708117,0.14546367544933192,0.15512716173247768,0.02115968087522857,1.0973522650853118e+16,104754582.95870934,104363927.83356804
v_LJ_32_26,-0.25111037354196164,0.013102208519569995,0.14549607967039882,0.15503420852898034,0.02116910919945504,1.5900868105266682e+16,126098644.34349278,125630268.51961835
v_LJ_32_27,-0.2505449132993755,0.013315905064646803,0.14554517911285328,0.15489344353255244,0.02118339916299254,2.3915492355869296e+16,154646346.07991648,154075394.25040838
v_LJ_32_28,-0.2511629744947604,0.01308248234455164,0.1456175024055298,0.1546862712369229,0.021204457006824474,3.76440248144161e+16,194020681.4090088,193310723.6535437
v_LJ_32_29,-0.2511892749711597,0.013072628953165064,0.1457202661880701,0.1543922575710808,0.021234395977922007,6.25701065019283e+16,250140173.70652062,249236499.6432033
v_LJ_32_30,-0.25149173044975237,0.012959778353994972,0.14585999215819612,0.15399316332945862,0.021275137312389034,1.108167841276537e+17,332891550.0995087,331710014.7518744
v_LJ_32_31,-0.25034765972638034,0.01339116034846969,0.14604045136847113,0.15347886668112964,0.02132781343590678,2.1080448998232726e+17,459134500.97147703,457542698.14252
v_LJ_31_2,-0.023427149352727328,0.8198244293189383,0.14485165173140516,0.1568906136578119,0.02098200100931629,971981457540.457,985891.1996465214,981982.0318541947
v_LJ_31_3,-0.18272913490363324,0.07321976294761821,0.1447681896931319,0.15713225085551388,0.020957828747026622,2346352620375.079,1531780.8656511803,1525606.936638144
v_LJ_31_4,-0.23911735630385486,0.018332612919488813,0.14475349589232403,0.15717482070195776,0.02095357457304907,4486136251131.291,2118050.1059066784,2109487.364105663
v_LJ_31_5,-0.24532426873410315,0.015436370979387286,0.144749601300032,0.15718610528294422,0.02095244707651823,7559218240444.101,2749403.2516973754,2738278.843247698
v_LJ_31_6,-0.24726392886855572,0.014616658328892355,0.1447482037381849,0.1571901548656657,0.020952042485431085,11773547271793.805,3431260.3037067596,3417372.7738273316
v_LJ_31_7,-0.24982822531749302,0.01359110470706057,0.14474758485641925,0.1571919481656566,0.020951863321766292,17388373991756.7,4169936.9289902574,4153057.412043505
v_LJ_31_8,-0.25109064818466215,0.0131096125057605,0.14474727494375245,0.1571928461884491,0.020951773603642265,24729188753647.812,4972845.136704722,4952714.154034486
v_LJ_31_9,-0.251629807950849,0.012908542183175598,0.14474711602467508,0.15719330668402962,0.020951727597460747,34207803828907.02,5848743.782121681,5825066.179549122
v_LJ_31_10,-0.25336563939320655,0.012279318858887838,0.14474704790860857,0.15719350406245128,0.020951707878257023,46349673580740.62,6808059.457785355,6780497.810230177
v_LJ_31_11,-0.25418095416158665,0.011993120992748994,0.14474704857109724,0.15719350214277097,0.020951708070043585,61831536364966.766,7863303.145941072,7831469.408259398
v_LJ_31_12,-0.25418095416158665,0.011993120992748994,0.1447471155342308,0.15719330810517884,0.020951727455479963,81533999246307.38,9029617.890382038,8993062.823322073
v_LJ_31_13,-0.25418095416158665,0.011993120992748994,0.14474726083939804,0.15719288705822101,0.020951769520508732,106616115242746.47,10325507.989573514,10283707.660409702
v_LJ_31_14,-0.2542993063053837,0.011952063596156356,0.14474751223172502,0.15719215860727884,0.020951842297273385,138622916427805.02,11773823.356404029,11726161.718484055
v_LJ_31_15,-0.2542993063053837,0.011952063596156356,0.14474791897139,0.15719098001700454,0.020951960046548083,179643310383694.3,13403108.23591656,13348854.370157365
v_LJ_31_16,-0.2563178678690344,0.011270449544894097,0.14474856302552278,0.15718911378531278,0.02095214649795374,232546607426438.4,15249478.923112042,15187756.902302517
v_LJ_31_17,-0.2563178678690344,0.011270449544894097,0.1447495780132698,0.1571861727581531,0.020952440335019678,301344708481173.94,17359283.06357074,17289031.463012427
v_LJ_31_18,-0.2563178678690344,0.011270449544894097,0.1447511800355447,0.15718153082403746,0.02095290412168268,391760271556090.6,19792934.88990682,19712851.532827668
v_LJ_31_19,-0.2561337645342389,0.011331176408373955,0.14475371680281673,0.15717418063192576,0.020953638528230067,512141933389596.56,22630553.09508799,22539018.390404396
v_LJ_31_20,-0.2559036353657445,0.011407486856057848,0.1447577443485899,0.15716251148926474,0.02095480454889171,674981960434988.5,25980414.93962305,25875383.64998243
v_LJ_31_21,-0.25674525061052395,0.011130571702471852,0.1447641437050118,0.15714397174965788,0.02095665730264531,899513735190423.9,29991894.49151927,29870740.13554654
v_LJ_31_22,-0.2566400487049265,0.011164861630921076,0.14477429177075016,0.15711457487295238,0.020959595557722296,1216312765703551.2,34875675.84583203,34734962.79199341
v_LJ_31_23,-0.2562060908443371,0.011307285417206865,0.1447902976495923,0.157068217444039,0.020964230293457536,1675754995200566.8,40935986.55462656,40771129.811748005
v_LJ_31_24,-0.2545228603547783,0.011874845216355128,0.14481530080153332,0.1569958218565665,0.020971471346238578,2364200284843338.0,48623042.73534656,48427790.34739247
v_LJ_31_25,-0.2540165761840906,0.012050349244563816,0.14485378895841802,0.156884429654404,0.020982620175609906,3436310119549887.5,58620048.78494974,58385679.36714761
v_LJ_31_26,-0.2530434585573144,0.012394043925425095,0.14491181989735438,0.15671658834091307,0.020999435545963275,5182588812138568.0,71990199.41727185,71704254.99048693
v_LJ_31_27,-0.2514128290205543,0.01298913557708117,0.14499692490839844,0.15647068381338736,0.021024108232891737,8177474120798384.0,90429387.48437028,90073636.74685425
v_LJ_31_28,-0.25111037354196164,0.013102208519569995,0.1451173842400714,0.15612311807337842,0.02105905520868052,1.3620668585946486e+16,116707620.08517905,116254729.11335456
v_LJ_31_29,-0.25111037354196164,0.013102208519569995,0.14528062586766577,0.15565303124469176,0.021106460252500677,2.416514365028752e+16,155451418.9394472,154859422.12256148
v_LJ_31_30,-0.2511629744947604,0.01308248234455164,0.1454908688530182,0.15504915322215893,0.021167592919606144,4.6031330089910184e+16,214549132.11176172,213752113.89253378
v_LJ_30_2,0.018147328715556396,0.8599577308476405,0.14418398269171445,0.15883140997824743,0.02078902086484461,243941062800.06454,493903.90036935784,491821.81085773505
v_LJ_30_3,-0.16321418141531027,0.11018423881771515,0.14401701532152583,0.15931953800885296,0.020740900702120608,590477378436.8844,768425.2588488255,765083.791308353
v_LJ_30_4,-0.23470545138786272,0.02066563372952347,0.14398761459435094,0.15940560636811604,0.020732433156571344,1132109118750.4282,1064006.1648084696,1059352.9876655312
v_LJ_30_5,-0.24314132919295647,0.016406237133485595,0.14397982124903982,0.15942842658757636,0.02073018892690546,1913296311216.7742,1383219.5455591185,1377160.879558614
v_LJ_30_6,-0.24685627148436567,0.014785731091481723,0.14397702460650302,0.1594366162179295,0.020729383614541578,2989543345760.2646,1729029.5965541666,1721451.8858240272
v_LJ_30_7,-0.24951261960070073,0.01371385320494874,0.14397578626046356,0.1594402426649804,0.020729027029318687,4430638499647.544,2104908.1926885894,2095680.7795199032
v_LJ_30_8,-0.25024903293988277,0.0134289265073496,0.14397516628000848,0.15944205827611532,0.02072884850535609,6325005554319.0205,2514956.3722496303,2503929.998417026
v_LJ_30_9,-0.2524845734338281,0.012595273687590211,0.1439748485545921,0.1594429887401264,0.020728757016317732,8785625067751.709,2964055.5102345347,2951059.293470129
v_LJ_30_10,-0.25315523558201175,0.012354135958151104,0.14397471266367287,0.15944338670011296,0.020728717886587165,11958197114433.428,3458062.6244233097,3442899.940335505
v_LJ_30_11,-0.25449655987837894,0.011883907079013331,0.14397471456339614,0.15944338113671896,0.020728718433611393,16032551228992.412,4004066.836229437,3986510.007665405
v_LJ_30_12,-0.25449655987837894,0.011883907079013331,0.1439748492994317,0.15944298655884748,0.020728757230794065,21258838033184.254,4610730.748285379,4590514.230555303
v_LJ_30_13,-0.2546543627367751,0.01182962629034883,0.1439751408795856,0.15944213266151383,0.02072884119129652,27970889705712.95,5288751.24256312,5265562.816482445
v_LJ_30_14,-0.2555288535770537,0.011532724906728306,0.14397564448048164,0.1594406578659278,0.020728986203570044,36620541062278.35,6051490.813202838,6024960.077028672
v_LJ_30_15,-0.2553184497658588,0.011603558908918458,0.14397645769694986,0.15943827638235486,0.020729220370961594,47829070963686.64,6915856.488077716,6885539.6234932365
v_LJ_30_16,-0.25495024309626785,0.011728432770859644,0.14397774209073327,0.15943451512203427,0.020729590217545706,62466016207973.54,7903544.534446145,7868903.849984382
v_LJ_30_17,-0.25495024309626785,0.011728432770859644,0.14397975924445855,0.15942860815712023,0.020730171072092247,81772873286500.72,9042835.467180675,9003211.502625706
v_LJ_30_18,-0.25525269857486044,0.011625772298397606,0.14398292847770883,0.15941932781046442,0.020731083693017016,107562464774408.17,10371232.55811035,10325805.416703308
v_LJ_30_19,-0.25477928999967203,0.01178680757216669,0.14398791677520942,0.15940472158095956,0.020732520177264634,142549702031517.0,11939417.993835252,11887152.810374202
v_LJ_30_20,-0.25518694738386205,0.011648022806702664,0.14399577495597593,0.15938171406973267,0.020734783205172067,190917966990441.66,13817306.79222408,13756875.434714962
v_LJ_30_21,-0.2546740880940746,0.0118228564286023,0.14400813600390455,0.15934552787831177,0.02073834323531907,259322828866169.7,16103503.620832631,16033170.168586748
v_LJ_30_22,-0.25509489571646426,0.011679235975270524,0.14402748763349194,0.1592888894820518,0.020743917194015672,358738043016883.0,18940381.279606886,18857831.337693237
v_LJ_30_23,-0.2558247339365464,0.01143375358480306,0.144057513333528,0.15920103986273149,0.0207525671478396,507988958212509.94,22538610.387788106,22440691.84174571
v_LJ_30_24,-0.2570871568037156,0.011019764364858176,0.14410345131259017,0.15906670369756665,0.020765804680200044,740811064263786.5,27217844.592542343,27100166.41166602
v_LJ_30_25,-0.2559825367949426,0.011381272853756773,0.1441723357649259,0.15886542351049274,0.020785662399914535,1120606058610095.6,33475454.56913312,33331754.45305867
